value_2025,value_2021,count,fuel_2021,fuel_2025,area_ha
20,21,1601,PL03,PL02,144.09
20,27,1576,PL09,PL02,141.84
27,23,1561,PL05,PL09,140.49
8,5,1557,PCH5,MT03,140.13
22,24,1551,PL06,PL04,139.59
5,23,1545,PL05,PCH5,139.05
23,26,1533,PL08,PL05,137.97
24,2,1533,PCH2,PL06,137.97
13,16,1519,BN03,MT08,136.71
22,30,1517,DX01,PL04,136.53
11,1,1516,PCH1,MT06,136.44
27,26,1506,PL08,PL09,135.54
9,7,1495,MT02,MT04,134.55
27,7,1494,MT02,PL09,134.46
20,28,1449,PL10,PL02,130.41
13,7,1448,MT02,MT08,130.32
33,25,1433,PL07,SV02,128.97
6,2,1424,PCH2,MT01,128.16
27,24,1423,PL06,PL09,128.07
24,21,1421,PL03,PL06,127.89
21,23,1413,PL05,PL03,127.17
26,29,1405,PL11,PL08,126.45
27,20,1402,PL02,PL09,126.18
32,20,1389,PL02,SV01,125.01
33,24,1384,PL06,SV02,124.56
24,1,1381,PCH1,PL06,124.29
30,34,1364,SV03,DX01,122.76
34,21,1358,PL03,SV03,122.22
32,29,1352,PL11,SV01,121.68
34,27,1345,PL09,SV03,121.05
2,28,1344,PL10,PCH2,120.96
3,29,1333,PL11,PCH3,119.97
22,25,1333,PL07,PL04,119.97
6,17,1327,BN04,MT01,119.43
8,6,1324,MT01,MT03,119.16
3,17,1321,BN04,PCH3,118.89
28,5,1312,PCH5,PL10,118.08
13,30,1304,DX01,MT08,117.36
22,21,1284,PL03,PL04,115.56
9,9,1275,MT04,MT04,114.75
20,17,1267,BN04,PL02,114.03
25,5,1260,PCH5,PL07,113.4
26,16,1259,BN03,PL08,113.31
27,30,1254,DX01,PL09,112.86
1,4,1249,PCH4,PCH1,112.41
26,30,1247,DX01,PL08,112.23
23,5,1244,PCH5,PL05,111.96
24,20,1244,PL02,PL06,111.96
21,11,1235,MT06,PL03,111.15
8,2,1219,PCH2,MT03,109.71
32,17,1205,BN04,SV01,108.45
3,7,1204,MT02,PCH3,108.36
5,27,1203,PL09,PCH5,108.27
27,21,1202,PL03,PL09,108.18
8,19,1177,PL01,MT03,105.93
27,6,1174,MT01,PL09,105.66
29,25,1172,PL07,PL11,105.48
16,32,1171,SV01,BN03,105.39
4,2,1163,PCH2,PCH4,104.67
17,11,1150,MT06,BN04,103.5
5,28,1149,PL10,PCH5,103.41
22,1,1141,PCH1,PL04,102.69
30,26,1113,PL08,DX01,100.17
2,24,1111,PL06,PCH2,99.99
8,33,1108,SV02,MT03,99.72
26,33,1097,SV02,PL08,98.73
11,25,1096,PL07,MT06,98.64
30,29,1088,PL11,DX01,97.92
6,24,1085,PL06,MT01,97.65
8,7,1083,MT02,MT03,97.47
12,26,1083,PL08,MT07,97.47
3,32,1080,SV01,PCH3,97.2
23,2,1080,PCH2,PL05,97.2
20,4,1014,PCH4,PL02,91.26
6,26,1005,PL08,MT01,90.45
1,28,985,PL10,PCH1,88.65
32,11,985,MT06,SV01,88.65
29,11,984,MT06,PL11,88.56
29,9,963,MT04,PL11,86.67
17,18,960,BN05,BN04,86.4
29,21,960,PL03,PL11,86.4
20,11,956,MT06,PL02,86.04
20,22,949,PL04,PL02,85.41
21,22,943,PL04,PL03,84.87
1,22,935,PL04,PCH1,84.15
7,27,933,PL09,MT02,83.97
27,17,928,BN04,PL09,83.52
33,18,915,BN05,SV02,82.35
24,28,909,PL10,PL06,81.81
8,16,907,BN03,MT03,81.63
