value_2025,value_2021,count,fuel_2021,fuel_2025,area_ha
21,27,834,PL09,PL03,75.06
20,12,833,MT07,PL02,74.97
3,17,811,BN04,PCH3,72.99
28,16,805,BN03,PL10,72.45
11,20,788,PL02,MT06,70.92
21,24,785,PL06,PL03,70.65
25,12,782,MT07,PL07,70.38
26,26,779,PL08,PL08,70.11
27,5,777,PCH5,PL09,69.93
21,2,769,PCH2,PL03,69.21
32,17,759,BN04,SV01,68.31
33,1,759,PCH1,SV02,68.31
13,7,753,MT02,MT08,67.77
9,7,749,MT02,MT04,67.41
34,1,741,PCH1,SV03,66.69
24,33,722,SV02,PL06,64.98
21,17,713,BN04,PL03,64.17
17,4,711,PCH4,BN04,63.99
5,9,709,MT04,PCH5,63.81
16,32,705,SV01,BN03,63.45
24,17,702,BN04,PL06,63.18
5,25,694,PL07,PCH5,62.46
29,20,690,PL02,PL11,62.1
6,34,689,SV03,MT01,62.01
33,28,686,PL10,SV02,61.74
22,17,684,BN04,PL04,61.56
4,5,681,PCH5,PCH4,61.29
16,18,661,BN05,BN03,59.49
33,25,661,PL07,SV02,59.49
30,2,652,PCH2,DX01,58.68
12,19,645,PL01,MT07,58.05
3,29,639,PL11,PCH3,57.51
16,11,634,MT06,BN03,57.06
3,7,632,MT02,PCH3,56.88
33,22,629,PL04,SV02,56.61
5,27,626,PL09,PCH5,56.34
23,5,612,PCH5,PL05,55.08
2,9,609,MT04,PCH2,54.81
2,11,603,MT06,PCH2,54.27
33,23,601,PL05,SV02,54.09
8,6,597,MT01,MT03,53.73
8,7,594,MT02,MT03,53.46
8,5,593,PCH5,MT03,53.37
1,26,591,PL08,PCH1,53.19
32,29,584,PL11,SV01,52.56
23,29,581,PL11,PL05,52.29
4,19,579,PL01,PCH4,52.11
24,5,579,PCH5,PL06,52.11
26,19,577,PL01,PL08,51.93
22,23,575,PL05,PL04,51.75
8,19,573,PL01,MT03,51.57
20,26,569,PL08,PL02,51.21
28,5,565,PCH5,PL10,50.85
16,13,563,MT08,BN03,50.67
11,17,558,BN04,MT06,50.22
7,11,556,MT06,MT02,50.04
34,17,556,BN04,SV03,50.04
9,9,548,MT04,MT04,49.32
22,26,544,PL08,PL04,48.96
3,4,543,PCH4,PCH3,48.87
11,9,543,MT04,MT06,48.87
2,26,538,PL08,PCH2,48.42
25,5,536,PCH5,PL07,48.24
11,28,531,PL10,MT06,47.79
23,27,531,PL09,PL05,47.79
5,23,529,PL05,PCH5,47.61
2,1,526,PCH1,PCH2,47.34
34,32,520,SV01,SV03,46.8
